Id	ItemId	TabType	OldItemId	NewCustomId	Name	Image	LockImage	Actor	BodyId	ModelActorBody	ModelActorBodyId	ChipImg	Icon	PriceType	Price	LockTip	Describe	HasGet	SortWeight	UnlockLevel	备注	备注.2	Unnamed: 23	Unnamed: 24
装扮ID	装扮ItemId	装扮类型	物品ItemId	新定制商店的Id	装扮名称	装扮图片	装扮黑图	装扮模型	BodyId	人物装扮组件	人物装扮组件BodyId	装扮碎片图片	装扮类型图标	价格类型	价格	未解锁提示语	描述	默认拥有	排序权重	解锁等级	装扮名称	描述		
Id	ItemId	TabType	OldItemId	NewCustomId	Name	Image	LockImage	Actor	BodyId	ModelActorBody	ModelActorBodyId	ChipImg	Icon	PriceType	Price	LockTip	Describe	HasGet	SortWeight	UnlockLevel				
2077	2077	1	268	10001	DressSetting_name_2077	set:dress_shop.json image:g1008_sword_01_b	set:dress_shop.json image:g1008_sword_01_b_lock	g1008_skin.actor	g1008_sword_01	gun	g1008_sword_01.mesh	set:dress_shop.json image:g1008_sword_01_b_chip	set:dress_shop.json image:sword_groove	4	30	DressSetting_unlock	DressSetting_des_2077	0	9899	1	勇士木剑	木剑		皮肤装扮内容
2078	2078	1	268	10002	DressSetting_name_2078	set:dress_shop.json image:g1008_sword_02_b	set:dress_shop.json image:g1008_sword_02_b_lock	g1008_skin.actor	g1008_sword_02	gun	g1008_sword_02.mesh	set:dress_shop.json image:g1008_sword_02_b_chip	set:dress_shop.json image:sword_groove	4	30	DressSetting_unlock	DressSetting_des_2078	0	9898	1	流浪者之剑	木剑		
2079	2079	1	268	10003	DressSetting_name_2079	set:dress_shop.json image:g1008_sword_03_b	set:dress_shop.json image:g1008_sword_03_b_lock	g1008_skin.actor	g1008_sword_03	gun	g1008_sword_03.mesh	set:dress_shop.json image:g1008_sword_03_b_chip	set:dress_shop.json image:sword_groove	4	30	DressSetting_unlock	DressSetting_des_2079	0	9897	1	毒刺木剑	木剑		新定制商店ID
2080	2080	1	267	10004	DressSetting_name_2080	set:dress_shop.json image:g1008_sword_04_b	set:dress_shop.json image:g1008_sword_04_b_lock	g1008_skin.actor	g1008_sword_04	gun	g1008_sword_04.mesh	set:dress_shop.json image:g1008_sword_04_b_chip	set:dress_shop.json image:sword_groove	4	50	DressSetting_unlock	DressSetting_des_2080	0	9896	1	巨刃	铁剑		用于配置通用碎片价格
2081	2081	1	267	10005	DressSetting_name_2081	set:dress_shop.json image:g1008_sword_05_b	set:dress_shop.json image:g1008_sword_05_b_lock	g1008_skin.actor	g1008_sword_05	gun	g1008_sword_05.mesh	set:dress_shop.json image:g1008_sword_05_b_chip	set:dress_shop.json image:sword_groove	4	50	DressSetting_unlock	DressSetting_des_2081	0	9895	1	锯齿	铁剑		关联配置表
2082	2082	1	267	10006	DressSetting_name_2082	set:dress_shop.json image:g1008_sword_06_b	set:dress_shop.json image:g1008_sword_06_b_lock	g1008_skin.actor	g1008_sword_06	gun	g1008_sword_06.mesh	set:dress_shop.json image:g1008_sword_06_b_chip	set:dress_shop.json image:sword_groove	4	50	DressSetting_unlock	DressSetting_des_2082	0	9894	1	斩首刀	铁剑		CustomShopGoods
2083	2083	1	283	10007	DressSetting_name_2083	set:dress_shop.json image:g1008_sword_07_b	set:dress_shop.json image:g1008_sword_07_b_lock	g1008_skin.actor	g1008_sword_07	gun	g1008_sword_07.mesh	set:dress_shop.json image:g1008_sword_07_b_chip	set:dress_shop.json image:sword_groove	4	80	DressSetting_unlock	DressSetting_des_2083	0	9893	1	金色荣耀	黄金剑		
2084	2084	1	283	10008	DressSetting_name_2084	set:dress_shop.json image:g1008_sword_08_b	set:dress_shop.json image:g1008_sword_08_b_lock	g1008_skin.actor	g1008_sword_08	gun	g1008_sword_08.mesh	set:dress_shop.json image:g1008_sword_08_b_chip	set:dress_shop.json image:sword_groove	4	80	DressSetting_unlock	DressSetting_des_2084	0	9892	1	黄金斩首刀	黄金剑		
