Id	Title	Name	Image	Desc	RewardId	RedressRewardId	RewardType	Count	CountText	Time	IsNotification	NotificationContent	NotificationParams	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21
奖品ID	奖品标题	奖品名称	奖品图片	奖品描述	奖品Id	补偿奖励Id	奖品类型	物品数量	数量多语言	物品有效时长(s)	是否有通知	通知内容	通知内容参数								
Id	Title	Name	Image	Desc	RewardId	RedressRewardId	RewardType	Count	CountText	Time	IsNotification	NotificationContent	NotificationParams								
101001	BoxSetting_title	BoxSetting_name_101001	set:runeIcon.json image:rune_10101	BoxSetting_desc_101001	10101	0	101	1	1	0	0	#	#		剑刃Ⅰ	奖品类型					
101002	BoxSetting_title	BoxSetting_name_101002	set:runeIcon.json image:rune_10201	BoxSetting_desc_101002	10201	0	101	1	1	0	0	#	#		弓箭Ⅰ	101	符文				
101003	BoxSetting_title	BoxSetting_name_101003	set:runeIcon.json image:rune_10301	BoxSetting_desc_101003	10301	0	101	1	1	0	0	#	#		击退Ⅰ	102	装扮碎片				
101004	BoxSetting_title	BoxSetting_name_101004	set:runeIcon.json image:rune_10401	BoxSetting_desc_101004	10401	0	101	1	1	0	0	#	#		吸血Ⅰ	103	装扮				
101005	BoxSetting_title	BoxSetting_name_101005	set:runeIcon.json image:rune_10501	BoxSetting_desc_101005	10501	0	101	1	1	0	0	#	#		暴击Ⅰ	104	特权				
101006	BoxSetting_title	BoxSetting_name_101006	set:runeIcon.json image:rune_10601	BoxSetting_desc_101006	10601	0	101	1	1	0	0	#	#		火剑Ⅰ	6	钥匙				
101007	BoxSetting_title	BoxSetting_name_101007	set:runeIcon.json image:rune_10701	BoxSetting_desc_101007	10701	0	101	1	1	0	0	#	#		强壮Ⅰ	9	宝箱				
101008	BoxSetting_title	BoxSetting_name_101008	set:runeIcon.json image:rune_10801	BoxSetting_desc_101008	10801	0	101	1	1	0	0	#	#		恢复Ⅰ	10	段位				
101009	BoxSetting_title	BoxSetting_name_101009	set:runeIcon.json image:rune_10901	BoxSetting_desc_101009	10901	0	101	1	1	0	0	#	#		保护Ⅰ	11	定制商店				
101010	BoxSetting_title	BoxSetting_name_101010	set:runeIcon.json image:rune_11001	BoxSetting_desc_101010	11001	0	101	1	1	0	0	#	#		壮大Ⅰ	7	号角				
101011	BoxSetting_title	BoxSetting_name_101011	set:runeIcon.json image:rune_11101	BoxSetting_desc_101011	11101	0	101	1	1	0	0	#	#		成长Ⅰ	13	观影券				
101012	BoxSetting_title	BoxSetting_name_101012	set:runeIcon.json image:rune_11201	BoxSetting_desc_101012	11201	0	101	1	1	0	0	#	#		修罗Ⅰ	12	方块皮肤				
101013	BoxSetting_title	BoxSetting_name_101013	set:runeIcon.json image:rune_11301	BoxSetting_desc_101013	11301	0	101	1	1	0	0	#	#		丰收Ⅰ	105	通用碎片				
