配置ID	预览挂点名	预览Mash	预览动作	场景动作	刀光特效	刀光特效偏移参数	刀光特效缩放参数	间隔时间	Unnamed: 9	Unnamed: 10	Unnamed: 11
Id	PartName	MeshName	Action	SceneAction	Effect	OffsetParams	ScaleParams	IdleTime			
7001	gun	g1008_sword_104.mesh	g1008_show_daoguang_02	g1008_daoguang_02	g1008_fp_daoguang_102.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		闪光刀光	
7002	gun	g1008_sword_104.mesh	g1008_show_daoguang_01	g1008_daoguang_01	g1008_fp_daoguang_101.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		水流刀光	
7003	gun	g1008_sword_104.mesh	g1008_show_daoguang_03	g1008_daoguang_03	g1008_fp_daoguang_103.effect	0.6#0.3#0.2	1.5#1.5#1	700		星星刀光	第二赛季通行证付费
7004	gun	g1008_sword_104.mesh	g1008_show_daoguang_04	g1008_daoguang_04	g1008_fp_daoguang_104.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		光线刀光	
7005	gun	g1008_sword_104.mesh	g1008_show_daoguang_05	g1008_daoguang_05	g1008_fp_daoguang_105.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		火焰刀光	第七赛季通行证付费
7006	gun	g1008_sword_104.mesh	g1008_show_daoguang_06	g1008_daoguang_06	g1008_fp_daoguang_106.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		科技刀光	
7007	gun	g1008_sword_104.mesh	g1008_show_daoguang_07	g1008_daoguang_07	g1008_fp_daoguang_107.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		幻影刀光	第四赛季通行证付费
7008	gun	g1008_sword_104.mesh	g1008_show_daoguang_08	g1008_daoguang_08	g1008_fp_daoguang_108.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		泡泡刀光	第一赛季通行证付费
7009	gun	g1008_sword_104.mesh	g1008_show_daoguang_09	g1008_daoguang_09	g1008_fp_daoguang_109.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		幽魂刀光	
7010	gun	g1008_sword_104.mesh	g1008_show_daoguang_10	g1008_daoguang_10	g1008_fp_daoguang_110.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		猫脸刀光	第六赛季通行证付费
7011	gun	g1008_sword_104.mesh	g1008_show_daoguang_11	g1008_daoguang_11	g1008_fp_daoguang_111.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		量子刀光	
7012	gun	g1008_sword_104.mesh	g1008_show_daoguang_12	g1008_daoguang_12	g1008_fp_daoguang_112.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		霓虹刀光	第一赛季通行证付费
7013	gun	g1008_sword_104.mesh	g1008_show_daoguang_13	g1008_daoguang_13	g1008_fp_daoguang_113.effect	0.6#0.3#0.2	1.5#1.5#1	700		黑暗刀光	第二赛季通行证付费
7014	gun	g1008_sword_104.mesh	g1008_show_daoguang_14	g1008_daoguang_14	g1008_fp_daoguang_114.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		冰冻刀光	第三赛季通行证付费
7015	gun	g1008_sword_104.mesh	g1008_show_daoguang_15	g1008_daoguang_15	g1008_fp_daoguang_115.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		圣诞刀光	第五赛季通行证付费
7016	gun	g1008_sword_104.mesh	g1008_show_daoguang_16	g1008_daoguang_16	g1008_fp_daoguang_116.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		影子刀光	第八赛季通行证付费
7017	gun	g1008_sword_104.mesh	g1008_show_daoguang_17	g1008_daoguang_17	g1008_fp_daoguang_117.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		水墨刀光	
7019	gun	g1008_sword_104.mesh	g1008_show_daoguang_19	g1008_daoguang_19	g1008_fp_daoguang_119.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		破碎刀光	第九赛季通行证付费
7020	gun	g1008_sword_104.mesh	g1008_show_daoguang_20	g1008_daoguang_20	g1008_fp_daoguang_120.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		烟花刀光	
7021	gun	g1008_sword_104.mesh	g1008_show_daoguang_21	g1008_daoguang_21	g1008_fp_daoguang_121.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		水波刀光	
7022	gun	g1008_sword_104.mesh	g1008_show_daoguang_22	g1008_daoguang_22	g1008_fp_daoguang_122.effect	0.6#0.3#0.2	1.5#1.5#0.4	700		真言刀光	
