ItemId	Icon	Name	MeshName	ClassName	Rotation
手持道具Id	对应Item图标	多语言名称	模型	道具类型	特定动作下旋转（转速#特定动作1#特定动作2#….）
ItemId	Icon	Name	MeshName	ClassName	Rotation
2801	christmas_tree	item.christmas_tree.name	g1048_shengdanshu_1.mesh	#	0
2803	common_box	item.box1.name	#	#	0
2802	exquisite_box	item.box2.name	#	#	0
2810	fountain_red_low	Item_Name281000	g1048_fountain_handle.mesh	#	0
2811	fountain_green_low	Item_Name281100	g1048_fountain_handle.mesh	#	0
2812	fountain_blue_low	Item_Name281200	g1048_fountain_handle.mesh	#	0
2813	fountain_cyan_low	Item_Name281300	g1048_fountain_handle.mesh	#	0
2814	fountain_purple_low	Item_Name281400	g1048_fountain_handle.mesh	#	0
2815	fountain_yellow_low	Item_Name281500	g1048_fountain_handle.mesh	#	0
2816	fountain_colourless_low	Item_Name281600	g1048_fountain_handle.mesh	#	0
2817	fountain_red_middle	Item_Name281700	g1048_fountain_handle.mesh	#	0
2818	fountain_green_middle	Item_Name281800	g1048_fountain_handle.mesh	#	0
2819	fountain_blue_middle	Item_Name281900	g1048_fountain_handle.mesh	#	0
2820	fountain_cyan_middle	Item_Name282000	g1048_fountain_handle.mesh	#	0
2821	fountain_purple_middle	Item_Name282100	g1048_fountain_handle.mesh	#	0
2822	fountain_yellow_middle	Item_Name282200	g1048_fountain_handle.mesh	#	0
2823	fountain_colourless_middle	Item_Name282300	g1048_fountain_handle.mesh	#	0
2824	fountain_red_high	Item_Name282400	g1048_fountain_handle.mesh	#	0
2825	fountain_green_high	Item_Name282500	g1048_fountain_handle.mesh	#	0
2826	fountain_blue_high	Item_Name282600	g1048_fountain_handle.mesh	#	0
2827	fountain_cyan_high	Item_Name282700	g1048_fountain_handle.mesh	#	0
2828	fountain_purple_high	Item_Name282800	g1048_fountain_handle.mesh	#	0
2829	fountain_yellow_high	Item_Name282900	g1048_fountain_handle.mesh	#	0
2830	fountain_colourless_high	Item_Name283000	g1048_fountain_handle.mesh	#	0
2831	g1048_feifu	ltem_Name283100	g1048_feifu.mesh	ItemPickaxe	5#1000#19
2832	g1048_feifu_1	ltem_Name283200	g1048_feifu_1.mesh	ItemPickaxe	5#1000#19
