Id	ItemId	TabType	OldItemId	Name	Image	LockImage	Actor	BodyId	ModelActorBody	ModelActorBodyId	ChipImg	Icon	PriceType	Price	LockTip	Describe	HasGet	SortWeight	UnlockLevel	备注	备注.1	备注.2
装扮ID	装扮ItemId	装扮类型	物品ItemId	装扮名称	装扮图片	装扮黑图	装扮模型	BodyId	人物装扮组件	人物装扮组件BodyId	装扮碎片图片	装扮类型图标	价格类型	价格	未解锁提示语	描述	默认拥有	排序权重	解锁等级	装扮名称	未解锁提示	描述
Id	ItemId	TabType	OldItemId	Name	Image	LockImage	Actor	BodyId	ModelActorBody	ModelActorBodyId	ChipImg	Icon	PriceType	Price	LockTip	Describe	HasGet	SortWeight	UnlockLevel			
2077	2077	1	268	DressSetting_name_2077	set:dress_shop.json image:g1008_sword_01_b	set:dress_shop.json image:g1008_sword_01_b_lock	g1008_skin.actor	g1008_sword_01	gun	g1008_sword_01.mesh	set:dress_shop.json image:g1008_sword_01_b_chip	set:dress_shop.json image:sword_groove	4	30	DressSetting_unlock	DressSetting_des_2077	0	9899	1	勇士木剑	未解锁	木剑
2078	2078	1	268	DressSetting_name_2078	set:dress_shop.json image:g1008_sword_02_b	set:dress_shop.json image:g1008_sword_02_b_lock	g1008_skin.actor	g1008_sword_02	gun	g1008_sword_02.mesh	set:dress_shop.json image:g1008_sword_02_b_chip	set:dress_shop.json image:sword_groove	4	30	DressSetting_unlock	DressSetting_des_2078	0	9898	1	流浪者之剑	未解锁	木剑
2079	2079	1	268	DressSetting_name_2079	set:dress_shop.json image:g1008_sword_03_b	set:dress_shop.json image:g1008_sword_03_b_lock	g1008_skin.actor	g1008_sword_03	gun	g1008_sword_03.mesh	set:dress_shop.json image:g1008_sword_03_b_chip	set:dress_shop.json image:sword_groove	4	30	DressSetting_unlock	DressSetting_des_2079	0	9897	1	毒刺木剑	未解锁	木剑
2080	2080	1	267	DressSetting_name_2080	set:dress_shop.json image:g1008_sword_04_b	set:dress_shop.json image:g1008_sword_04_b_lock	g1008_skin.actor	g1008_sword_04	gun	g1008_sword_04.mesh	set:dress_shop.json image:g1008_sword_04_b_chip	set:dress_shop.json image:sword_groove	4	50	DressSetting_unlock	DressSetting_des_2080	0	9896	1	巨刃	未解锁	铁剑
2081	2081	1	267	DressSetting_name_2081	set:dress_shop.json image:g1008_sword_05_b	set:dress_shop.json image:g1008_sword_05_b_lock	g1008_skin.actor	g1008_sword_05	gun	g1008_sword_05.mesh	set:dress_shop.json image:g1008_sword_05_b_chip	set:dress_shop.json image:sword_groove	4	50	DressSetting_unlock	DressSetting_des_2081	0	9895	1	锯齿	未解锁	铁剑
2082	2082	1	267	DressSetting_name_2082	set:dress_shop.json image:g1008_sword_06_b	set:dress_shop.json image:g1008_sword_06_b_lock	g1008_skin.actor	g1008_sword_06	gun	g1008_sword_06.mesh	set:dress_shop.json image:g1008_sword_06_b_chip	set:dress_shop.json image:sword_groove	4	50	DressSetting_unlock	DressSetting_des_2082	0	9894	1	斩首刀	未解锁	铁剑
2083	2083	1	283	DressSetting_name_2083	set:dress_shop.json image:g1008_sword_07_b	set:dress_shop.json image:g1008_sword_07_b_lock	g1008_skin.actor	g1008_sword_07	gun	g1008_sword_07.mesh	set:dress_shop.json image:g1008_sword_07_b_chip	set:dress_shop.json image:sword_groove	4	80	DressSetting_unlock	DressSetting_des_2083	0	9893	1	金色荣耀	未解锁	黄金剑
2084	2084	1	283	DressSetting_name_2084	set:dress_shop.json image:g1008_sword_08_b	set:dress_shop.json image:g1008_sword_08_b_lock	g1008_skin.actor	g1008_sword_08	gun	g1008_sword_08.mesh	set:dress_shop.json image:g1008_sword_08_b_chip	set:dress_shop.json image:sword_groove	4	80	DressSetting_unlock	DressSetting_des_2084	0	9892	1	黄金斩首刀	未解锁	黄金剑
2085	2085	1	283	DressSetting_name_2085	set:dress_shop.json image:g1008_sword_09_b	set:dress_shop.json image:g1008_sword_09_b_lock	g1008_skin.actor	g1008_sword_09	gun	g1008_sword_09.mesh	set:dress_shop.json image:g1008_sword_09_b_chip	set:dress_shop.json image:sword_groove	4	80	DressSetting_unlock	DressSetting_des_2085	0	9891	1	誓约胜利之剑	未解锁	黄金剑
2086	2086	1	276	DressSetting_name_2086	set:dress_shop.json image:g1008_sword_10_b	set:dress_shop.json image:g1008_sword_10_b_lock	g1008_skin.actor	g1008_sword_10	gun	g1008_sword_10.mesh	set:dress_shop.json image:g1008_sword_10_b_chip	set:dress_shop.json image:sword_groove	4	100	DressSetting_unlock	DressSetting_des_2086	0	9890	1	圣骑士枪	未解锁	钻石剑
2087	2087	1	276	DressSetting_name_2087	set:dress_shop.json image:g1008_sword_11_b	set:dress_shop.json image:g1008_sword_11_b_lock	g1008_skin.actor	g1008_sword_11	gun	g1008_sword_11.mesh	set:dress_shop.json image:g1008_sword_11_b_chip	set:dress_shop.json image:sword_groove	4	100	DressSetting_unlock	DressSetting_des_2087	0	9889	1	璀璨水晶	未解锁	钻石剑
2088	2088	1	276	DressSetting_name_2088	set:dress_shop.json image:g1008_sword_12_b	set:dress_shop.json image:g1008_sword_12_b_lock	g1008_skin.actor	g1008_sword_12	gun	g1008_sword_12.mesh	set:dress_shop.json image:g1008_sword_12_b_chip	set:dress_shop.json image:sword_groove	4	100	DressSetting_unlock	DressSetting_des_2088	0	9888	1	钻石星辰剑	未解锁	钻石剑
2089	2089	1	268	DressSetting_name_2089	set:dress_shop.json image:g1008_sword_13_b	set:dress_shop.json image:g1008_sword_13_b_lock	g1008_skin.actor	g1008_sword_13	gun	g1008_sword_13.mesh	set:dress_shop.json image:g1008_sword_13_b_chip	set:dress_shop.json image:sword_groove	4	80	DressSetting_unlock	DressSetting_des_2089	0	9487	1	红缎带木剑	未解锁	木剑
2090	2090	1	268	DressSetting_name_2090	set:dress_shop.json image:g1008_sword_14_b	set:dress_shop.json image:g1008_sword_14_b_lock	g1008_skin.actor	g1008_sword_14	gun	g1008_sword_14.mesh	set:dress_shop.json image:g1008_sword_14_b_chip	set:dress_shop.json image:sword_groove	4	100	DressSetting_unlock	DressSetting_des_2090	0	9286	1	鲨鱼之刃	未解锁	木剑
2091	2091	1	268	DressSetting_name_2091	set:dress_shop.json image:g1008_sword_15_b	set:dress_shop.json image:g1008_sword_15_b_lock	g1008_skin.actor	g1008_sword_15	gun	g1008_sword_15.mesh	set:dress_shop.json image:g1008_sword_15_b_chip	set:dress_shop.json image:sword_groove	4	120	DressSetting_unlock	DressSetting_des_2091	0	9085	1	刺客木刃	未解锁	木剑
2092	2092	1	267	DressSetting_name_2092	set:dress_shop.json image:g1008_sword_16_b	set:dress_shop.json image:g1008_sword_16_b_lock	g1008_skin.actor	g1008_sword_16	gun	g1008_sword_16.mesh	set:dress_shop.json image:g1008_sword_16_b_chip	set:dress_shop.json image:sword_groove	4	80	DressSetting_unlock	DressSetting_des_2092	0	9684	1	合金大剑	未解锁	铁剑
