Id	Type	RewardId	Weight	IsCore	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
宝箱奖品ID	所属宝箱类型	奖品ID	抽奖权重	是否为核心物品(0为普通，1为核心)						
Id	Type	RewardId	Weight	IsCore						
101001	1	101001	70	0	0.017902813299232736	剑刃Ⅰ		Type		
101002	1	101002	70	0	0.017902813299232736	弓箭Ⅰ		所属宝箱类型		
101003	1	101003	30	0	0.0076726342710997444	击退Ⅰ		1：银宝箱奖品		
101004	1	101004	50	0	0.01278772378516624	吸血Ⅰ		2：终极宝箱奖品		
101005	1	101005	50	0	0.01278772378516624	暴击Ⅰ				
101006	1	101006	30	0	0.0076726342710997444	火剑Ⅰ				
101007	1	101007	90	0	0.023017902813299233	强壮Ⅰ				
101008	1	101008	70	0	0.017902813299232736	恢复Ⅰ				
101009	1	101009	30	0	0.0076726342710997444	保护Ⅰ				
101010	1	101010	50	0	0.01278772378516624	壮大Ⅰ				
101011	1	101011	30	0	0.0076726342710997444	成长Ⅰ				
101012	1	101012	30	0	0.0076726342710997444	修罗Ⅰ				
101013	1	101013	50	0	0.01278772378516624	丰收Ⅰ		黄金宝箱		
101014	1	101014	70	0	0.017902813299232736	祝福Ⅰ		一级符文	0.2506393861892583	
101015	1	101015	70	0	0.017902813299232736	幸运Ⅰ		二级符文	0.12020460358056266	
101016	1	101016	50	0	0.01278772378516624	复活Ⅰ		皮肤	0.42455242966751916	
101017	1	101017	50	0	0.01278772378516624	铁锭Ⅰ		特权	0.20460358056265984	
101018	1	101018	30	0	0.0076726342710997444	羊毛Ⅰ				
101019	1	101019	30	0	0.0076726342710997444	铁墓Ⅰ				
101020	1	101020	30	0	0.0076726342710997444	毛堆Ⅰ				
101021	1	101021	10	0	0.0025575447570332483	剑刃Ⅱ				
101022	1	101022	30	0	0.0076726342710997444	弓箭Ⅱ				
101023	1	101023	20	0	0.005115089514066497	击退Ⅱ				
101024	1	101024	10	0	0.0025575447570332483	吸血Ⅱ				
