Id	Icon	Name	Unnamed: 3	Unnamed: 4
商店TabID	商店Tab图标(作废)	商店Tab名称	备注	tab名称(多语言表)
Id	Icon	Name		
1	set:app_shop.json image:app_shop_diamonds_mods	AppShopTab_1	礼包	AppShopTab_1=礼包
2	set:app_shop.json image:app_shop_diamonds_mods	AppShopTab_6	单独特权售卖	AppShopTab_6=单独特权售卖
3	set:app_shop.json image:app_shop_diamonds_mods	AppShopTab_8	喷泉	AppShopTab_8=喷泉
4	set:app_shop.json image:app_shop_diamonds_mods	AppShopTab_7	活动	AppShopTab_7=活动
5	set:app_shop.json image:app_shop_diamonds_mods	AppShopTab_5	特权	AppShopTab_5=特权
6	set:app_shop.json image:app_shop_diamonds_mods	AppShopTab_2	矿机	AppShopTab_2=矿机
7	set:app_shop.json image:app_shop_diamonds_mods	AppShopTab_3	方块	AppShopTab_3=方块
8	set:app_shop.json image:app_shop_diamonds_mods	AppShopTab_4	物品	AppShopTab_4=物品
