TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
枚举类型(游戏独有的id合成方式，等于游戏id+三位，比如g1019,id组成就是1019XXX)	模板说明	备注	中文	英文	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语
1030001	GameName	GameName	▢FF00FF00保卫雪人	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender	▢FF00FF00Snowman Defender
1030002	GameName	GameName	▢FF0DB8F6购买商店内的方块保护雪人	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.	▢FF0DB8F6Buy blocks in the store to protect snowman.
1030003	GameName	GameName	▢FF00FF00距离战斗开始还剩▢FFFF0000%1s▢FF00FF00秒，请使用方块保护好雪人！	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.	▢FFFF0000%1s ▢FF00FF00second(s) left to before the battle starts. Use your blocks to protect your Snowman.
1030004	GameName	GameName	▢FF00FF00距离轰炸阶段还剩▢FFFF0000%1s▢FF00FF00秒	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)	▢FF00FF00Time left before TNT Fever starts: ▢FFFF0000%1s ▢FF00FF00second(s)
1030005	GameName	GameName	▢FF0DB8F6使用炸药尽情破坏地图！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！	▢FF0DB8F6Use TNT to destroy the map！！
1030006	GameName	GameName	▢FF00FF00距离游戏结束还剩▢FFFF0000%1s▢FF00FF00秒	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.	▢FFFF0000%1s ▢FF00FF00second(s) left before the game end.
1030007	GameName	GameName	▢FFFF0000警告：生命值极低，请及时回复	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 	▢FFFF0000Warning: HP is low, please regenerate as soon as possible. 
1030008	GameName	GameName	▢FF00FF00雪球升级成功	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully	▢FF00FF00Upgraded snowball successfully
1030009	GameName	GameName	▢FF00FF00方块购买成功	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully	▢FF00FF00Bought blocks successfully
