TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
枚举类型	模板说明	备注	中文	英文	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语
10035001	GameName	GameName	大农场主探险	RancherExplore	RancherExplore	RancherExplore	RancherExplore	RancherExplore	RancherExplore	RancherExplore	RancherExplore	RancherExplore	RancherExplore	RancherExplore	RancherExplore	RancherExplore
10035002	ReadyTime	ReadyTime	▢FFFF0000%1s秒▢FF00FF00后开始	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start	▢FFFF0000%1s seconds▢FF00FF00 to start
10035003	WaitForStart	WaitForStart	▢FFFF0000人数满足条件，请找Npc开始游戏	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start	▢FFFF0000Find Npc To Start
10035004	HasFinishTask	HasFinishTask	▢FFFF0000任务已完成	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished	▢FFFF0000Task Has been Finished
10035005	GameOver	GameOver	▢FFFF0000游戏结束	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over	▢FFFF0000Game Over
10035006	PressureTip	PressureTip	▢FFFF0000还需%1s名同伴踩住机关	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 	▢FFFF0000Need%1sMore Person To Keep The Feet Upon 
10035007	PlayerNotEnough	PlayerNotEnough	▢FFFF0000人数不足，等待伙伴加入	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player	▢FFFF0000Need More Player
10035008	GameHasOver	GameHasOver	▢FFFF0000游戏已结束，可返回农场主	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers	▢FFFF0000Explore Has Finished,Back to Ranchers
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
10035101	TaskDes	TaskDes	▢FFDCF246提交▢FF48E33B%1s▢FFDCF246个▢FF20A6EB铜矿原石	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper
10035102	TaskDes	TaskDes	▢FFDCF246提交▢FF48E33B%1s▢FFDCF246个▢FF20A6EB铜矿原石	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper
10035103	TaskDes	TaskDes	▢FFDCF246提交▢FF48E33B%1s▢FFDCF246个▢FF20A6EB铜矿原石	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper
10035104	TaskDes	TaskDes	▢FFDCF246提交▢FF48E33B%1s▢FFDCF246个▢FF20A6EB铜矿原石	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBcopper
10035105	TaskDes	TaskDes	▢FFDCF246提交▢FF48E33B%1s▢FFDCF246个▢FF20A6EB煤矿原石	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal
10035106	TaskDes	TaskDes	▢FFDCF246提交▢FF48E33B%1s▢FFDCF246个▢FF20A6EB煤矿原石	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal
10035107	TaskDes	TaskDes	▢FFDCF246提交▢FF48E33B%1s▢FFDCF246个▢FF20A6EB煤矿原石	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal	▢FFDCF246Need ▢FF48E33B%1s ▢FF20A6EBCoal
