Id	Icon	Name	Detail	Unnamed: 4
唯一Id	任务奖励图标	名称	描述	备注
Id	Icon	Name	Detail	
1101	set:task_and_shop.json image:100m_pri1	Item_Name501000	Item_Desc500100	10W
1102	set:task_and_shop.json image:build_pri1_2	Item_Name501000	Item_Desc500200	魔方用金币买
1103	set:task_and_shop.json image:build_pri1_3	Item_Name501000	Item_Desc500300	半价岛屿
1201	set:task_and_shop.json image:build_pri2_1	Item_Name501000	Item_Desc500400	星空方块
1202	set:task_and_shop.json image:build_pri2_2	Item_Name501000	Item_Desc500500	流星
1301	set:task_and_shop.json image:build_pri3_1	Item_Name501000	Item_Desc500600	所有方块5折
1302	set:task_and_shop.json image:build_pri3_2	Item_Name501000	Item_Desc500700	飞行
2101	set:task_and_shop.json image:product_6	Item_Name400600	Item_Desc400600	特权矿机
2102	set:task_and_shop.json image:100m_pri1	Item_Name500800	Item_Desc500800	60W
2103	set:items.json image:hoe_purple	Item_Name225200	Item_Desc225200	紫晶锄
2104	set:items.json image:shovel_purple	Item_Name224800	Item_Desc224800	紫晶锹
2105	set:items.json image:axe_purple	Item_Name224700	Item_Desc224700	紫晶斧
2106	set:items.json image:pickaxe_purple	Item_Name224900	Item_Desc224900	紫晶镐
2201	set:task_and_shop.json image:product_1	Item_Name400100	Item_Desc400100	初级矿机
2202	set:task_and_shop.json image:product_2	Item_Name400200	Item_Desc400200	中级矿机
2203	set:task_and_shop.json image:product_3	Item_Name400300	Item_Desc400300	高级矿机
2204	set:task_and_shop.json image:product_4	Item_Name400400	Item_Desc400400	金币矿机
2205	set:task_and_shop.json image:product_5	Item_Name400500	Item_Desc400500	钻石矿机
2206	set:items.json image:helmet_purple	Item_Name207200	Item_Desc207200	紫晶头盔
2207	set:items.json image:plate_purple	Item_Name207300	Item_Desc207300	紫晶甲
2208	set:items.json image:legs_purple	Item_Name207400	Item_Desc207400	紫晶护腿
2209	set:items.json image:boots_purple	Item_Name207500	Item_Desc207500	紫晶鞋
2301	set:task_and_shop.json image:res_pri3_1	Item_Name501000	Item_Desc500900	挖掘机升级半价
2302	set:items.json image:bow_purple_standby	Item_Name225100	Item_Desc225100	紫晶弓
2303	set:items.json image:sword_purple	Item_Name224600	Item_Desc224600	紫晶剑
2401	set:task_and_shop.json image:res_pri4_1	Item_Name501000	Item_Desc501000	矿机产量加倍
2402	set:items.json image:gun_171	Item_Name233700	Item_Desc233700	星空枪
2501	set:task_and_shop.json image:crown_pri1	Item_Name305000	Item_Desc305000	超级特权
2601	set:task_and_shop.json image:sword_gold	Item_Name357000	Item_Desc357000	帝国的泯灭
2602	set:task_and_shop.json image:g1048_helmet_red	Item_Name356000	Item_Desc356000	君王头盔
2603	set:task_and_shop.json image:g1048_clothes_red	Item_Name356100	Item_Desc356100	君王甲
2604	set:task_and_shop.json image:g1048_pants_red	Item_Name356200	Item_Desc356200	君王护腿
2605	set:task_and_shop.json image:g1048_shoes_red	Item_Name356300	Item_Desc356300	君王鞋
2701	set:task_and_shop.json image:sword_black	Item_Name356900	Item_Desc356900	诛神黄昏
2702	set:task_and_shop.json image:g1048_helmet_purple	Item_Name356400	Item_Desc356400	诛神头盔
2703	set:task_and_shop.json image:g1048_clothes_purple	Item_Name356500	Item_Desc356500	诛神甲
2704	set:task_and_shop.json image:g1048_pants_purple	Item_Name356600	Item_Desc356600	诛神护腿
2705	set:task_and_shop.json image:g1048_shoes_purple	Item_Name356700	Item_Desc356700	诛神鞋
2801	set:task_and_shop.json image:100m_pri1	Item_Name10000000	Item_Desc10000000	100w
2802	set:task_and_shop.json image:vip_pri1	Item_Name10000002	Item_Desc10000002	VIP称号
2803	set:task_and_shop.json image:more_pri1	Item_Name10000003	Item_Desc10000003	更多特权
2804	set:task_and_shop.json image:100m_pri1	Item_Name10000001	Item_Desc10000001	10w
