Id	Icon	Type	NumText	RewardId	Meta	Num	Unnamed: 7	Unnamed: 8	Unnamed: 9
唯一Id	任务奖励图标	奖励类型 1)物品 2)游戏币	描述多语言(无用字段)	奖品Id(不能直接拉,有部分临时特殊处理)	奖品meta	数量	奖励物品名	奖励价值	对应任务
Id	Icon	Type	NumText	RewardId	Meta	Num			
10011	#	1	0	4	0	15	圆石	60	从身边的橡树收集3个原木
10021	#	1	0	2	0	8	草方块	16	在背包合成界面，制造1个工作台
10031	set:items.json image:currency_money	2	0	0	0	500	金币	500	在背包合成界面，制造4个木棍
10041	set:items.json image:currency_money	2	0	0	0	600	金币	600	挖一个2*2的坑，在对角放入冰块并破坏
10051	#	1	0	2	0	10	草方块	20	用圆石和木棍在工作台制造1个石镐
10061	#	1	0	265	0	12	铁锭	768	在草地上种植2棵树，并等待他们长大
10071	set:items.json image:currency_money	2	0	0	0	500	金币	500	带上镐，去矿区收集20个圆石吧!
10081	#	1	0	17	0	30	橡树原木	60	在工作台制造1个箱子
10091	set:items.json image:currency_money	2	0	0	0	1200	金币	1200	赚取金币，从屏幕左上方按钮扩大岛屿吧！
20011	#	1	0	2	0	15	草方块	30	在工作台合成一个铁镐
20021	#	1	0	958	0	64	玉米种子	640	在工作台合成一个铁锄
20031	set:items.json image:currency_money	2	0	0	0	800	金币	800	在工作台合成一个铁斧
20041	#	1	0	2	0	25	草方块	50	在商店购买20个小麦种子
20051	#	1	0	266	0	3	金锭	1152	用小麦种子进行种植，收货20个成熟小麦
20061	#	1	0	316	0	1	金护腿	2	获取一个金镐
20071	#	1	0	317	0	1	金靴子	2	合成1个熔炉
20081	#	1	0	959	0	64	胡萝卜种子	896	收集30个成熟马铃薯
20091	#	1	0	266	0	4	金锭	1536	在商店购买中级矿机
20101	set:items.json image:currency_money	2	0	0	0	3000	金币	3000	矿机总等级达到24级
20111	#	1	0	961	0	64	棉花种子	1024	收集40个成熟玉米
20121	set:items.json image:currency_money	2	0	0	0	4000	金币	4000	收集钻石镐
20131	#	1	0	2	0	64	草方块	128	收集钻石斧
20141	set:items.json image:currency_money	2	0	0	0	4000	金币	4000	扩岛
30011	#	1	0	264	0	4	钻石	3200	在商店购买高级矿机
30021	set:items.json image:currency_money	2	0	0	0	5000	金币	5000	收集钻石剑
30031	set:items.json image:currency_money	2	0	0	0	5000	金币	5000	收集钻石胸甲
30041	#	1	0	2	0	40	草方块	80	钻石护腿
30051	#	1	0	155	0	24	石英块	48	钻石靴子
30061	#	1	0	264	0	12	钻石	9600	收集10个地狱岩
30071	set:items.json image:currency_money	2	0	0	0	12000	金币	12000	收集10个地狱砖块
30081	#	1	0	2420	0	3	海晶石砖	6	收集6个海晶石
30091	set:items.json image:currency_money	2	0	0	0	14000	金币	14000	收集6个钻石块
30101	#	1	0	388	0	15	绿宝石	16800	在矿区击败10个对手
30111	#	1	0	264	0	15	钻石	12000	击杀15个骷髅
30121	#	1	0	264	0	30	钻石	24000	击杀15个大僵尸
30131	#	1	0	57	0	4	钻石块	28800	击杀1个凋零
30141	#	1	0	133	0	5	绿宝石块	50400	击杀1个骨龙
30151	set:items.json image:currency_money	2	0	0	0	5000	金币	5000	扩岛
40011	set:items.json image:currency_money	2	0	0	0	9000	金币	9000	在商店购买10个骨粉
40021	set:items.json image:currency_money	2	0	0	0	24000	金币	24000	收集10朵蒲公英
40031	set:items.json image:currency_money	2	0	0	0	42000	金币	42000	获取蒲公英，然后在合成台制作20个黄色染料
40041	set:items.json image:currency_money	2	0	0	0	42000	金币	42000	收集20个红色染料
40051	set:items.json image:currency_money	2	0	0	0	42000	金币	42000	收集20个黄绿色染料
40061	set:items.json image:currency_money	2	0	0	0	50000	金币	50000	收集40海晶石
40071	set:items.json image:currency_money	2	0	0	0	60000	金币	60000	收集40海晶石砖
40081	set:items.json image:currency_money	2	0	0	0	70000	金币	70000	收集40钻石块
40091	set:items.json image:currency_money	2	0	0	0	80000	金币	80000	收集40绿宝石块
40101	#	1	0	133	0	10	绿宝石块	100800	矿机总等级达到80级
40111	#	1	0	57	0	15	钻石块	108000	扩岛
200004	#	1	0	2	0	4	草方块	8	
200006	#	1	0	2	0	6	草方块	12	
200009	#	1	0	2	0	9	草方块	18	
200010	#	1	0	2	0	10	草方块	20	
200012	#	1	0	2	0	12	草方块	24	
200016	#	1	0	2	0	16	草方块	32	
200019	#	1	0	2	0	19	草方块	38	
200022	#	1	0	2	0	22	草方块	44	
200026	#	1	0	2	0	26	草方块	52	
200032	#	1	0	2	0	32	草方块	64	
200034	#	1	0	2	0	34	草方块	68	
200045	#	1	0	2	0	45	草方块	90	
200046	#	1	0	2	0	46	草方块	92	
200047	#	1	0	2	0	47	草方块	94	
200064	#	1	0	2	0	64	草方块	128	
2400006	#	1	0	24	0	6	砂石	12	
2400008	#	1	0	24	0	8	砂石	16	
2400013	#	1	0	24	0	13	砂石	26	
2400015	#	1	0	24	0	15	砂石	30	
2400018	#	1	0	24	0	18	砂石	36	
2400023	#	1	0	24	0	23	砂石	46	
2400027	#	1	0	24	0	27	砂石	54	
2400032	#	1	0	24	0	32	砂石	64	
2400038	#	1	0	24	0	38	砂石	76	
2400046	#	1	0	24	0	46	砂石	92	
2400049	#	1	0	24	0	49	砂石	98	
2400064	#	1	0	24	0	64	砂石	128	
4100005	#	1	0	41	0	5	金块	17280	
4100006	#	1	0	41	0	6	金块	20736	
4100007	#	1	0	41	0	7	金块	24192	
4100008	#	1	0	41	0	8	金块	27648	
4100009	#	1	0	41	0	9	金块	31104	
4100011	#	1	0	41	0	11	金块	38016	
4100013	#	1	0	41	0	13	金块	44928	
4100014	#	1	0	41	0	14	金块	48384	
4100015	#	1	0	41	0	15	金块	51840	
4100016	#	1	0	41	0	16	金块	55296	
4100017	#	1	0	41	0	17	金块	58752	
4100020	#	1	0	41	0	20	金块	69120	
4100023	#	1	0	41	0	23	金块	79488	
4100025	#	1	0	41	0	25	金块	86400	
4500003	#	1	0	45	0	3	砖块	6	
4500005	#	1	0	45	0	5	砖块	10	
4500006	#	1	0	45	0	6	砖块	12	
4500007	#	1	0	45	0	7	砖块	14	
4500008	#	1	0	45	0	8	砖块	16	
4500009	#	1	0	45	0	9	砖块	18	
4500010	#	1	0	45	0	10	砖块	20	
4500011	#	1	0	45	0	11	砖块	22	
4500012	#	1	0	45	0	12	砖块	24	
4500013	#	1	0	45	0	13	砖块	26	
4500014	#	1	0	45	0	14	砖块	28	
4500015	#	1	0	45	0	15	砖块	30	
4500016	#	1	0	45	0	16	砖块	32	
4500017	#	1	0	45	0	17	砖块	34	
4500019	#	1	0	45	0	19	砖块	38	
4500020	#	1	0	45	0	20	砖块	40	
4500021	#	1	0	45	0	21	砖块	42	
