Id	TabId	Name	Icon	ItemId	HaveItem	CoinId	CoinNum	Detail	Rewards
唯一id	商品归类	商品名称	商品图标(引用商店表)	商品真实Id	物品，背包判断用。直接饮	商品货币类型(1魔方，3游戏币,显示用	商品货币数量 显示用	物品描述	显示的奖励
Id	TabId	Name	Icon	ItemId	HaveItem	CoinId	CoinNum	Detail	Rewards
100000	1	Item_Name10000001	set:task_and_shop.json image:100m_pri1	100000	#	1	60	Item_Desc10000001	2804
3016	1	Item_Name301600	set:task_and_shop.json image:item_pri_2	3016	3570#3560#3561#3562#3563	1	147	Item_Desc301600	2601#2602#2603#2604#2605
3101	1	Item_Name300100	set:task_and_shop.json image:build_pri1	3101	#	1	175	Item_Desc300100	1302#1101
3114	1	Item_Name301400	set:task_and_shop.json image:res_pri4	3114	3569#2251	1	347	Item_Desc301400	2302#2701
3103	1	Item_Name300300	set:task_and_shop.json image:build_pri3	3103	#	1	387	Item_Desc300300	2204#2205#2101
3112	1	Item_Name301200	set:task_and_shop.json image:res_pri2	3112	2247#2248#2249#2252	1	497	Item_Desc301200	2103#2104#2105#2106
3113	1	Item_Name301300	set:task_and_shop.json image:res_pri3	3113	3564#3565#3566#3567	1	497	Item_Desc301300	2702#2703#2704#2705
10000	1	Item_Name10000000	set:task_and_shop.json image:100m_pri1	10000	#	1	500	Item_Desc10000000	2801
3102	1	Item_Name300200	set:task_and_shop.json image:build_pri2	3102	#	1	675	Item_Desc300200	1103#1301#2301#2401#1102
3111	1	Item_Name301100	set:task_and_shop.json image:res_pri1	3111	2337	1	775	Item_Desc301100	1202#1201#2402
3150	2	Item_Name305000	set:task_and_shop.json image:crown_pri1	3150	2337#2247#2248#2249#2252#3564#3565#3566#3567#3569#2251	1	2600	Item_Desc305000	2804#1302#1103#1301#2301#2401#1102#2204#2205#2101#1202#1201#2402#2103#2104#2105#2106#2702#2703#2704#2705#2302#2701#2802#2803
